2025-05-01 01:30:25.907 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-05-01 01:30:25.920 [restartedMain] INFO  c.c.a.AuthServiceApplication - Starting AuthServiceApplication using Java 17.0.15 with PID 47884 (/Users/beratkulcu/Desktop/auth-service/target/classes started by beratkulcu in /Users/beratkulcu/Desktop/auth-service)
2025-05-01 01:30:25.921 [restartedMain] INFO  c.c.a.AuthServiceApplication - No active profile set, falling back to 1 default profile: "default"
2025-05-01 01:30:25.935 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-05-01 01:30:25.935 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-05-01 01:30:26.369 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-05-01 01:30:26.370 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-05-01 01:30:26.428 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 55 ms. Found 3 JPA repository interfaces.
2025-05-01 01:30:26.434 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-05-01 01:30:26.434 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-05-01 01:30:26.440 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.coffecommerce.auth_service.repository.RefreshTokenRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2025-05-01 01:30:26.441 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.coffecommerce.auth_service.repository.RoleRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2025-05-01 01:30:26.441 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.coffecommerce.auth_service.repository.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2025-05-01 01:30:26.441 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3 ms. Found 0 Redis repository interfaces.
2025-05-01 01:30:26.817 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-05-01 01:30:26.823 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-05-01 01:30:26.824 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-05-01 01:30:26.824 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2025-05-01 01:30:26.849 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-05-01 01:30:26.849 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 914 ms
2025-05-01 01:30:27.020 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-05-01 01:30:27.046 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2025-05-01 01:30:27.066 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-05-01 01:30:27.143 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-05-01 01:30:27.153 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-05-01 01:30:27.213 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@39798e8
2025-05-01 01:30:27.214 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-05-01 01:30:27.622 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-05-01 01:30:27.670 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-05-01 01:30:27.852 [restartedMain] INFO  c.c.auth_service.config.RoleSeeder - Role USER already exists
2025-05-01 01:30:27.854 [restartedMain] INFO  c.c.auth_service.config.RoleSeeder - Role ADMIN already exists
2025-05-01 01:30:27.856 [restartedMain] INFO  c.c.auth_service.config.RoleSeeder - Role SELLER already exists
2025-05-01 01:30:27.936 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-05-01 01:30:28.210 [restartedMain] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2025-05-01 01:30:28.231 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@db27e40, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@583d47cc, org.springframework.security.web.context.SecurityContextHolderFilter@2fd18ab9, org.springframework.security.web.header.HeaderWriterFilter@acf8403, org.springframework.web.filter.CorsFilter@23909e8b, org.springframework.security.web.authentication.logout.LogoutFilter@7c765996, com.coffecommerce.auth_service.security.JwtAuthenticationFilter@53402cf7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6db49f31, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@39807940, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3d606741, org.springframework.security.web.session.SessionManagementFilter@4c334311, org.springframework.security.web.access.ExceptionTranslationFilter@16ff9aff, org.springframework.security.web.access.intercept.AuthorizationFilter@1d4219c4]
2025-05-01 01:30:28.472 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-05-01 01:30:28.493 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-05-01 01:30:28.498 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-05-01 01:30:28.507 [restartedMain] INFO  c.c.a.AuthServiceApplication - Started AuthServiceApplication in 2.775 seconds (process running for 3.318)
2025-05-01 01:30:28.569 [RMI TCP Connection(2)-127.0.0.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-05-01 01:30:28.569 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-05-01 01:30:28.570 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
